q0001  00:00.0-00:30.0  Девушки воровушки
q0456  22:29.7-22:30.4  Идём!
q0457  22:33.4-22:34.4  Ладушки.
q0458  22:39.4-22:41.5  Я не сплю, я не сплю.
q0459  22:42.7-22:43.1  Что?
q0460  22:43.7-22:45.4  Нет, нет, я спал.
q0461  22:45.6-22:46.1  Я уснул.
q0462  22:46.4-22:47.8  Прости, что уснул.
q0463  22:47.8-22:49.6  И прости, что наврал.
q0464  22:49.9-22:50.3  Прости.
q0465  22:50.9-22:51.5  Это плохо.
q0466  22:51.8-22:52.6  Что случилось?
q0467  22:54.0-22:54.9  Прогнал башку?
q0468  22:55.7-22:57.1  Нет, не совсем.
q0469  22:57.5-22:58.6  Не знаю, типа того.
q0470  22:58.9-23:00.7  Так, мне внести его в долю или нет?
q0471  23:00.9-23:02.3  Вообще-то всё готово.
q0472  23:03.5-23:04.6  Нет, не вноси.
q0473  23:04.8-23:05.3  Или стой.
q0474  23:05.9-23:06.4  Не знаю.
q0475  23:06.6-23:09.6  Вообще, мне надо прилечь ненадолго, хорошо?
q0476  23:09.8-23:12.4  Ричард, до презентации считанные часы.
q0477  23:12.8-23:14.2  Ты гонишь башку или нет?
q0478  23:14.2-23:15.3  Не знаю.
q0479  23:15.8-23:18.2  Я дико устал.
q0480  23:18.3-23:18.8  Ясно?
q0481  23:19.0-23:20.8  Я схожу, выпью водички.
q0482  23:20.8-23:25.0  Ричард, кончай мять сиськи и стань, наконец, мудаком.
q0483  23:31.8-23:32.3  Ладно.
q0484  23:33.4-23:35.6  Просишь стать мудаком, я буду мудаком.
q0485  23:35.9-23:40.4  Буду как мудак с тобой, с тобой, с тобой, с тобой и с ебучим Питером Грегори.
q0486  23:41.0-23:41.5  Ясно?
q0487  23:41.7-23:43.8  Идите все в пизду, башка с нами.
q0488  23:44.2-23:45.6  Скажете, я сорю деньгами?
q0489  23:45.7-23:46.8  Ну так мне не впервой.
q0490  23:46.8-23:49.8  Мог бы сейчас валяться на пляже с десятью миллионами в кармане.
q0491  23:50.0-23:50.7  Ну, не в кармане.
q0492  23:50.8-23:52.3  На счету.
q0493  23:52.9-23:53.4  Ясно?
q0494  23:53.9-23:55.1  Это моя фирма.
q0495  23:55.3-23:56.1  И моя идея.
q0496  23:56.2-23:57.5  Все будет, как я скажу.
q0497  23:57.7-24:00.2  А я скажу, Джаред, вноси башку в бизнес-план.
q0498  24:00.5-24:02.4  Его доля будет такой же, как у всех.
q0499  24:02.5-24:02.9  Башка?
q0500  24:03.2-24:04.3  Ты никуда не едешь.
q0501  24:04.9-24:05.5  Ты прав.
q0502  24:05.7-24:06.4  Не еду.
q0503  24:07.0-24:10.0  Гэвин Белсон меня сейчас нехило повысил.
q0504  24:10.2-24:13.2  600 тысяч в год, чтобы я с вами не работал.
q0505  24:13.6-24:13.9  Что?
q0506  24:14.1-24:16.9  Ага, месть за то, что вы увели Джареда.
q0507  24:17.6-24:19.3  Так, ты теперь яблоко раздора?
q0508  24:19.3-24:25.1  И будь добр, Ричард. Если вдруг встретишь Гевина, сделай вид, что ты расстроен.
q0509  24:25.4-24:27.9  О, но я и так расстроен.
q0510  24:28.8-24:32.5  Ясно, что за нахуй? Я защищаю тебя всем наперекор.
q0511  24:33.3-24:35.6  Прости, друг, но это серьёзные бабки.
q0512  24:35.9-24:38.2  Я съеду от вас, сниму свою квартиру.
q0513  24:38.5-24:39.8  В свете этой информации.
q0514  24:40.4-24:44.2  Кто получит его долю? Может, мне половину?
q0515  24:44.4-24:46.5  Я. Я получу.
q0516  24:46.8-24:48.1  Ясно? Всё целиком.
q0517  24:49.3-24:52.7  Башка, друг, поздравляю с повышением.
q0518  24:53.2-24:53.5  Честно.
q0519  24:53.6-24:57.9  Но с твоего позволения, я пойду дохуячивать свой бизнес-план.
q0520  24:58.4-24:59.2  Джаред, ты со мной.
q0521  25:04.0-25:05.3  Вот мудак.
q0522  25:06.0-25:06.4  Да.
q0523  25:07.4-25:08.7  Вот мудак.
q0524  25:14.9-25:15.6  Следующий.
q0525  25:17.7-25:18.3  Здрасте.
q0526  25:18.5-25:19.1  Депозит?
q0527  25:19.1-25:27.7  200 тысяч долларов от Питера Грегори.
q0528  25:29.2-25:30.4  Ух ты.
q0529  25:34.2-25:35.2  Простите.
q0530  25:37.7-25:38.3  Алло?
q0531  25:38.9-25:40.6  Чел, они ковыряют твой код.
q0532  25:41.6-25:41.9  Что?
q0533  25:42.4-25:45.6  Ты давал программерам доступ к своему плееру?
q0534  25:46.5-25:47.7  Да ёп.
q0535  25:48.4-25:51.0  Позломали прототип и декомпилировали библиотеку.
q0536  25:51.9-25:53.2  Теперь код у них.
q0537  25:54.3-25:57.9  Они спешат с обратным инжинирингом, чтобы ты не успел подать в суд.
q0538  25:58.4-26:00.0  Стой, стой. Ты точно уверен?
q0539  26:00.0-26:05.0  Да, чел, Гевин хочет тебя раздавить, чтобы ни один инвестор не дал тебе больше ни цента.
q0540  26:05.7-26:07.0  Этого только не хватало.
q0541  26:07.2-26:08.6  Они назвали его Ядро.
q0542  26:08.8-26:09.9  Хуй знает с каким смыслом.
q0543  26:10.3-26:10.8  Блеха.
q0544  26:11.1-26:12.7  Прости, чел, не могу сейчас говорить.
q0545  26:13.7-26:14.2  Перезвоню.
q0546  26:14.7-26:15.0  Ага.
q0547  26:15.6-26:17.5  Ядро?
q0548  26:18.7-26:22.5  Простите, чек подписан на пеги-дудочник инкорпорейтед.
q0549  26:22.9-26:23.8  Какой у вас ИНН?
q0550  26:24.6-26:25.2  Что-что?
q0551  26:25.5-26:28.2  Пеги-дудочник зарегистрирован в налоговой.
q0552  26:28.4-26:30.6  Я не могу положить деньги на счёт физлица.
q0553  26:31.6-26:32.6  Не знаю.
q0554  26:33.5-26:35.6  Вы можете мне как-то помочь?
q0555  26:35.7-26:36.5  Нет, сэр.
q0556  26:39.0-26:40.4  Мужик, шевелись!
q0557  26:41.7-26:43.2  Да, да.
q0558  26:43.7-26:44.3  Простите.
q0559  26:44.3-26:44.6  Спасибо.
q0560  26:45.0-26:45.3  Ага.
q0561  26:45.6-26:48.2  Следующий.
q0562  27:45.6-28:04.9  Продолжение следует...
