q0001  00:00.0-00:27.9  Кэнон Интернешнл представляет
q0440  47:04.8-47:34.8  Субтитры сделал DimaTorzok
q0441  47:34.8-48:04.8  Субтитры сделал DimaTorzok
q0442  48:04.8-48:21.8  Такие разные бойцы на одной арене.
q0443  48:22.5-48:23.1  Захватывающе.
q0444  48:23.2-48:24.7  Чтобы поверить, это надо увидеть.
q0445  48:25.1-48:26.6  О, пожалуйста, Фрэнк.
q0446  48:27.4-48:28.7  Ты не мог бы меня провести.
q0447  48:28.9-48:30.4  Я так хочу написать статью.
q0448  48:30.5-48:32.0  Поверь, для меня это очень важно.
q0449  48:32.9-48:34.3  У них есть четкие правила.
q0450  48:34.6-48:35.5  Никакой прессы.
q0451  48:35.8-48:37.2  Но мы что-нибудь придумаем, правда?
q0452  48:38.0-48:38.7  Я не знаю.
q0453  48:39.9-48:41.5  Ты никогда не нарушал правила?
q0454  48:42.1-48:43.0  Ты о чем это?
q0455  48:43.5-48:45.1  Кто такие Фелмер и Роулинс?
q0456  48:46.1-48:47.2  Просто друзья.
q0457  48:47.8-48:48.2  А что?
q0458  48:49.3-48:51.0  И должно быть очень близкие.
q0459  48:52.3-48:54.7  Раз готовы носиться за тобой по всему Гонконгу.
q0460  48:56.2-48:57.9  Что ты от меня хочешь?
q0461  48:57.9-49:00.5  Чтобы ты помог мне пробраться на Кумите.
q0462  49:00.5-49:04.3  А еще больше.
q0463  49:05.9-49:07.7  Хочу узнать тебя поближе.
q0464  49:11.2-49:13.0  У нас вся ночь впереди.
q0465  49:30.5-50:00.5  СПОКОЙНАЯ МУЗЫКА
q0466  50:00.5-50:04.0  Я должен идти.
q0467  50:05.3-50:05.9  Я знаю.
q0468  50:09.1-50:10.3  Желаю удачи.
q0469  50:11.0-50:11.5  Спасибо.
q0470  50:14.5-50:15.9  Вечером опять у жены?
q0471  50:16.5-50:17.0  Конечно.
q0472  50:19.4-50:23.5  А насчет Кумитея, извини, но я не смогу помочь.
q0473  50:24.9-50:25.5  Да ничего.
q0474  50:26.8-50:27.4  Переживу.
q0475  50:30.5-50:47.3  До встречи.
q0476  51:00.5-51:02.5  Девушки отдыхают...
q0477  51:30.5-51:31.9  Ты стоишь, иди переодевайся.
q0478  51:32.5-51:34.2  Выбери кирпич, любой.
q0479  51:35.2-51:36.7  Я знаю, ты хочешь нижний.
q0480  51:48.2-51:50.1  Видали, не царапинки.
q0481  51:51.1-51:52.3  Не дим, Мак.
q0482  51:54.4-51:56.0  Так же, как и этот.
q0483  51:58.0-51:58.7  Подарок.
q0484  52:00.5-52:03.1  Ю, Фэнки!
q0485  52:03.7-52:05.7  Ух, не хотелось бы столкнуться с тобой.
q0486  52:06.1-52:06.9  Все, пошли, малыш.
q0487  52:07.3-52:08.7  Ну, как настроен сегодня?
q0488  52:09.3-52:10.5  Я готов драться.
q0489  52:10.8-52:12.2  Славно, ты настоящий боец.
q0490  52:12.4-52:13.2  Да, сильный.
q0491  52:13.8-52:14.2  Очень.
q0492  52:14.5-52:15.0  Спасибо.
q0493  52:24.9-52:28.3  Иногда приходится работать под прикрытием.
q0494  52:28.3-52:30.3  Вей!
q0495  52:48.3-52:50.3  Ваши!
q0496  52:50.3-52:52.3  Ваши!
q0497  52:58.3-53:28.3  ДИНАМИЧНАЯ МУЗЫКА
q0498  53:28.3-53:58.3  ДИНАМИЧНАЯ МУЗЫКА
q0499  53:58.3-53:59.3  Ха!
q0500  54:28.3-54:30.3  Я не могу, я не могу.
q0501  54:58.3-55:24.3  ЧАВТИН! ЧАВТИН! ЧАВТИН!
q0502  55:28.3-55:58.3  Субтитры создавал DimaTorzok
q0503  55:58.3-56:02.3  Ази!
q0504  56:28.3-56:35.3  Джоад Гомес против Фрэнка Дюкса.
q0505  56:35.3-56:37.3  Есть!
q0506  56:37.3-56:39.3  Азови!
q0507  56:57.3-56:59.3  Азови!
q0508  57:07.3-57:37.3  Субтитры сделал DimaTorzok
q0509  57:37.3-58:07.3  Субтитры создавал DimaTorzok
q0510  58:07.3-58:37.3  Субтитры сделал DimaTorzok
q0511  58:37.3-59:07.3  Субтитры создавал DimaTorzok
q0512  59:07.3-59:08.3  Ах!
q0513  59:37.3-60:07.3  Субтитры создавал DimaTorzok
q0514  60:07.3-60:22.0  Чонг Ли против Рея Джексона.
q0515  60:22.3-60:24.3  Пора отделить мужиков от сопляков.
q0516  60:24.5-60:27.0  Лучше смотри, как бы Чонг Ли не отделил тебе башку.
q0517  60:28.8-60:31.1  У него есть слабое место. Это живот.
q0518  60:31.6-60:33.0  Что-то не пойму, о чем ты.
q0519  60:33.1-60:34.4  Его самое уязвимое место.
q0520  60:35.2-60:36.6  Паредес застал его врасплох.
q0521  60:37.3-60:38.8  Эй, ты меня слушаешь?
q0522  60:38.8-60:40.3  Целься в живот.
q0523  60:40.3-60:42.8  И не подставляйся под его правую ногу.
q0524  60:42.8-60:44.8  Перестань уже психовать, Фрэнк.
q0525  60:44.8-60:46.8  Всё под контролем.
q0526  60:46.8-60:48.8  Куда хочешь, как моя мамаша?
q0527  61:07.3-61:13.7  Я его уделал!
q0528  61:13.8-61:14.8  Что ты делаешь?
q0529  61:15.1-61:15.8  Продолжай!
q0530  61:16.6-61:17.2  Джексон!
q0531  61:17.8-61:18.5  Джексон!
q0532  61:19.0-61:19.9  Джексон!
q0533  61:21.0-61:21.9  Джексон!
q0534  61:22.5-61:23.3  Джексон!
q0535  61:25.5-61:27.3  Прощай, Чурли, он покойник!
q0536  61:27.3-61:28.2  Я его завалил!
q0537  61:28.4-61:28.6  Да!
q0538  61:29.2-61:29.5  Да!
q0539  61:31.0-61:31.4  Да!
q0540  61:31.4-61:31.5  Да!
q0541  61:34.8-61:35.7  Да!
q0542  61:36.4-61:36.7  Да!
q0543  61:37.3-61:37.8  Нет!
q0544  61:48.0-61:49.0  Нет!
q0545  61:49.3-61:50.5  Стой!
q0546  61:50.5-61:51.5  Нет!
q0547  62:07.3-62:37.3  Счастливый, Счастливый, Счастливый!
q0548  62:37.3-63:01.4  Рэй! Рэй, я здесь.
q0549  63:02.4-63:03.2  Рэй.
q0550  63:05.0-63:07.2  Врачи говорят, ты выкарабкиваешься.
q0551  63:07.3-63:11.1  Повезло, что у тебя не голова, булыжник.
q0552  63:11.7-63:13.8  Да, выйдешь отсюда уже через неделю.
q0553  63:17.3-63:19.1  Я отомщу за тебя, Чонули.
q0554  63:20.4-63:21.5  Даю тебе слово.
q0555  63:22.3-63:23.5  Думаешь, это ему нужно?
q0556  63:23.7-63:24.9  Сосед по больничной койке?
q0557  63:25.7-63:27.3  Дженнис, не вмешивайся в это.
q0558  63:27.8-63:30.2  Фрэнк, я не хочу видеть, как он тебя искалечит.
q0559  63:30.8-63:31.7  Тогда не смотри.
q0560  63:31.8-63:34.1  Если собираетесь спорить, найдите другое место.
q0561  63:36.3-63:36.9  Простите.
q0562  63:37.3-63:43.6  Ты даже не попытаешься понять, что это значит для нас, так да?
q0563  63:43.7-63:49.3  Да что тут понимать, вы всего лишь кучка громил, которые пытаются что-то доказать, вышибая друг другу мозги
q0564  63:49.3-63:51.0  Почему ты стала журналисткой?
q0565  63:51.1-63:52.5  Какое это имеет значение?
q0566  63:52.5-63:54.0  Просто ответь на вопрос
q0567  63:54.0-63:58.9  Мой отец был репортером, я сама с детства хорошо пишу, вот решила, что это мое призвание
q0568  63:58.9-64:03.2  И ты стараешься стать лучшей журналисткой, ради него и ради себя, верно?
q0569  64:03.5-64:04.6  Да, и что с того?
q0570  64:04.6-64:07.4  Так вот, я тоже пытаюсь стать лучшим в своем деле.
q0571  64:08.0-64:09.1  Не только ради себя.
q0572  64:09.6-64:11.2  Ради Танаки, своего учителя.
q0573  64:11.3-64:12.6  Просто молодец, Фрэнк.
q0574  64:12.7-64:13.6  Как благородно.
q0575  64:13.9-64:15.0  Продолжай в том же духе.
q0576  64:15.2-64:17.8  Надеюсь, с тобой не случится того же, что с Джексоном.
q0577  64:18.1-64:20.3  А если случится, то не на моих глазах.
q0578  64:24.5-64:26.0  Ты все испортишь, Фрэнк.
q0579  64:27.0-64:28.2  Забудь ты о девчонке.
q0580  64:29.7-64:31.6  Выкинь из головы месть Чону Ли.
q0581  64:31.8-64:33.2  У тебя есть шанс получить все.
q0582  64:33.2-64:34.5  Ты хотя бы понимаешь это.
q0583  64:34.6-64:37.6  стать первым западным бойцом, победившим на Кумите.
q0584  64:38.0-64:39.8  Но для этого твой разум должен быть чист.
q0585  64:39.9-64:40.6  Ты слышишь меня?
q0586  64:42.1-64:42.7  Ты усёк?
q0587  64:52.7-64:55.2  Почему вам так важно, чтобы мы остановили Кумите?
q0588  64:55.5-64:57.9  Только сегодня там едва не убили человека.
q0589  64:59.4-65:02.5  Там будет драться мой друг, и я не хочу, чтобы он пострадал.
q0590  65:04.6-65:05.6  Курля, сон сел, дей.
q0591  65:05.6-65:07.6  Снеги, си бит, си бит, са хон.
q0592  65:07.6-65:08.6  Хаса.
q0593  65:08.6-65:09.6  Окей.
q0594  65:12.6-65:13.6  Кто же ваш друг?
q0595  65:13.6-65:15.6  Его зовут.
q0596  65:16.6-65:18.6  Фрэнк Дюкс.
q0597  65:34.6-66:04.5  Продолжение следует...
q0598  66:04.6-66:34.5  Субтитры сделал DimaTorzok
q0599  66:34.6-67:04.5  Субтитры сделал DimaTorzok
q0600  67:04.6-67:34.5  Субтитры создавал DimaTorzok
q0601  67:34.6-68:04.5  Девушки отдыхают...
q0602  68:04.6-68:10.6  Я зашел слишком далеко, чтобы отступать.
q0603  68:10.6-68:13.6  Не нужно было тебе сюда приезжать, Фрэнк. Взять его.
q0604  68:34.6-68:46.7  Тебе обязательно быть таким упрямцем, Фрэнк?
q0605  68:47.1-68:48.0  О, осторожно.
q0606  68:48.0-68:49.5  Надевай, я им не воспользуюсь.
q0607  68:49.6-68:50.9  Последнее предупреждение.
q0608  68:58.0-68:58.9  Инспектор нет.
q0609  68:59.4-69:00.3  Он нужен нам живым.
q0610  69:02.6-69:04.1  Фрэнк, может ты угомонишься?
q0611  69:04.1-69:06.6  Мы гоняемся за тобой по всему Гонконгу. Сколько можно?
q0612  69:21.2-69:24.3  Что теперь? Как с ним быть?
q0613  69:26.0-69:27.7  Роулис, следуй за мной.
q0614  69:32.9-69:35.8  Время вышло. Мы не можем больше ждать.
q0615  69:35.8-69:39.1  Да брось. Дай еще минуту. Обещаю тебе, мой парень придет.
q0616  69:39.1-69:41.1  Мы должны следовать правилам.
q0617  69:42.1-69:43.1  А где же мистер Дюкс?
q0618  69:43.5-69:45.7  Ну, предлагаю вам наконец-то успокоиться.
q0619  69:45.8-69:46.5  Он придет, усекли.
q0620  69:47.0-69:47.9  Слишком поздно.
q0621  69:48.1-69:49.0  Слишком поздно?
q0622  69:50.1-69:51.8  Нет таких слов слишком поздно.
q0623  69:54.1-69:55.2  А, наконец-то.
q0624  69:58.7-70:00.5  Только посмотрите, кто пришел.
q0625  70:00.7-70:01.1  Извини.
q0626  70:01.5-70:02.6  Как себя чувствуешь, Дюкс?
q0627  70:03.1-70:03.6  Хорошо.
q0628  70:04.9-70:05.6  Я готов.
q0629  70:06.1-70:07.1  Дюкс не подведет.
q0630  70:09.1-70:11.1  ПОДПИШИСЬ!
q0631  70:11.1-70:39.6  Пако против Фрэнка Дюкса.
q0632  70:41.1-71:11.1  Субтитры создавал DimaTorzok
q0633  71:11.1-71:13.1  А-а-а!
q0634  71:41.1-71:42.1  Уйди!
q0635  71:57.1-71:59.1  Ну давай, давай, давай!
q0636  72:02.1-72:04.1  Давай, давай!
q0637  72:11.1-72:15.1  Стой! Стой!
q0638  72:15.1-72:17.1  Да!
q0639  72:17.1-72:31.1  Эй, Франки, ты молодец!
q0640  72:31.1-72:33.1  Ты просто зверь!
q0641  72:41.1-73:00.8  Чон Ли против Чоан Иих Муна.
q0642  73:11.1-73:41.1  ДИНАМИЧНАЯ МУЗЫКА
q0643  73:41.1-74:11.1  Субтитры создавал DimaTorzok
q0644  74:11.1-74:41.1  Субтитры создавал DimaTorzok
q0645  74:41.1-75:11.1  ТРЕВОЖНАЯ МУЗЫКА
q0646  75:11.1-75:38.4  Чон-ли против Фрэнка Дюкса.
q0647  75:38.4-75:42.4  Подготовить платформу для последней схватки.
q0648  75:43.4-75:47.4  Час настал, Фрэнк? Это твой шанс войти в историю.
q0649  76:01.4-76:04.4  Фрэнк! Все хорошо?
q0650  76:05.4-76:06.4  Фрэнк!
q0651  76:06.4-76:07.4  Да.
q0652  76:08.4-76:38.4  Субтитры создавал DimaTorzok
q0653  76:38.4-77:08.4  Субтитры создавал DimaTorzok
q0654  77:08.4-77:13.4  Синкут!
q0655  77:13.4-77:15.4  Вами!
q0656  77:19.4-77:21.4  Синкут!
q0657  77:21.4-77:23.4  Вами!
q0658  77:33.4-77:35.4  Вами!
q0659  77:35.4-77:45.3  Ты смог побить мой рекорд, но я сломаю тебя, как сломал твоего дружка.
q0660  77:45.3-77:59.3  Один!
q0661  78:05.4-78:32.9  И давай ему спуску, Дюкс!
q0662  78:32.9-78:34.9  Ну, как это поедини, да?
q0663  78:44.9-78:46.9  Эй, вставай!
q0664  79:02.9-79:09.9  Домбей! Домбей! Домбей!
q0665  79:22.9-79:25.9  Вот так! Забей его, Тюк! Что уже?
q0666  79:32.9-80:02.9  Субтитры создавал DimaTorzok
q0667  80:02.9-80:04.9  Да, Фред!
q0668  80:32.9-80:34.9  Ставань!
q0669  81:02.9-81:32.9  Субтитры создавал DimaTorzok
q0670  81:32.9-81:56.4  Вставай, Франки!
q0671  82:02.9-82:32.9  Субтитры создавал DimaTorzok
q0672  82:32.9-83:02.9  Субтитры создавал DimaTorzok
q0673  83:02.9-83:32.9  Субтитры создавал DimaTorzok
q0674  83:32.9-83:45.1  Ну давай!
q0675  83:45.6-83:46.6  Держись, Тюфринг!
q0676  84:02.9-84:32.9  Субтитры создавал DimaTorzok
q0677  84:32.9-84:34.9  А-а-а!
q0678  84:48.9-84:50.9  На, отец Дюкс!
q0679  84:52.9-84:54.9  Говори!
q0680  84:56.9-84:58.9  Давай!
q0681  84:58.9-85:00.9  Сейчас!
q0682  85:00.9-85:02.9  Матер!
q0683  85:04.9-85:06.9  Да! Да!
q0684  85:17.9-85:19.9  Молодец, Дюкс!
q0685  85:19.9-85:49.9  Девушки отдыхают
q0686  85:49.9-85:57.5  Это тебе, учитель.
q0687  86:00.4-86:02.6  Значит, ты его отметелил, да?
q0688  86:03.5-86:04.0  Хуже.
q0689  86:05.3-86:06.5  В каком смысле?
q0690  86:08.2-86:09.6  Заставил сказать мате.
q0691  86:12.1-86:14.1  Ай да, мужик.
q0692  86:15.1-86:16.8  Только не слишком зазнавайся.
q0693  86:17.0-86:19.1  Радуйся, что не пришлось драться со мной.
q0694  86:19.1-86:20.8  Не буду зазнаваться.
q0695  86:21.9-86:24.3  Ребята, да вы оба чокнутые.
q0696  86:25.3-86:26.3  За это я выпью.
q0697  86:27.8-86:32.4  Да, кстати, в следующем бою не бросай шмотки, где попало.
q0698  86:37.9-86:45.4  Запомни, друг, любое место, любое время, если понадоблюсь, только свистни.
q0699  86:45.4-86:50.1  Я люблю тебя, друг
q0700  86:50.1-86:56.4  И я тебя
q0701  86:56.4-87:02.4  Удачи
q0702  87:02.4-87:17.6  Нет, он не придет
q0703  87:17.6-87:20.4  Похоже, что он опять нас кинул
q0704  87:21.1-87:24.2  Эй, ребята
q0705  87:24.2-87:26.5  Вы летите или как?
q0706  87:28.6-87:31.0  Ну что ж за сукин сын
q0707  87:31.0-87:33.1  Ох уж эти опоздания!
q0708  87:37.8-87:40.1  А ты настоящая заноза, Дёкс.
q0709  87:43.9-87:46.0  Я счастлив, что ты с нами, малыш.
q0710  88:01.0-88:08.3  Фильм основан на реальных событиях из жизни Фрэнка Дюкса.
q0711  88:15.1-88:23.0  С 1975 по 1980 год Фрэнк Дюкс провел 329 боев.
q0712  88:23.5-88:30.9  Он ушел из порта непобежденным, с титулом чемпиона мира по кумите с полным контактом среди бойцов в тяжелом весе.
q0713  88:31.0-88:36.4  Четыре рекорда мистера Дюкса до сих пор не побиты.
q0714  88:37.1-88:40.6  Самый быстрый нокаут – 3,2 секунды.
q0715  88:41.0-88:45.9  Самый быстрый удар рукой, приведший к нокауту – 0,12 секунды.
q0716  88:46.3-88:50.6  Самый быстрый удар ногой, приведший к нокауту – 115 км в час.
q0717  88:51.1-88:54.7  Максимальное число нокаутов за один турнир – 56.
q0718  88:54.7-89:03.2  Впоследствии мистер Дюкс стал основателем первой американской школы ниндзюцу Дюкс Рюк
q0719  89:24.7-89:36.7  Купи-теп!
q0720  89:54.7-90:24.6  ДИНАМИЧНАЯ МУЗЫКА
q0721  90:24.7-90:54.6  Субтитры сделал DimaTorzok
q0722  90:54.7-91:24.6  Субтитры сделал DimaTorzok
q0723  91:24.7-91:26.7  Третьясь, как и дракон,
q0724  91:26.7-91:30.7  И я нашел, что я уже не могу.
q0725  91:30.7-91:34.7  Я беру все время,
q0726  91:34.7-91:36.7  Я беру все время,
q0727  91:36.7-91:38.7  Я беру все время,
q0728  91:38.7-91:40.7  Я буду пройти,
q0729  91:40.7-91:42.7  Я буду пройти,
q0730  91:42.7-91:44.7  Я буду пройти!
q0731  91:54.7-92:24.6  Субтитры создавал DimaTorzok
