q0001  00:00.0-00:03.4  Доброе утро, Пэм.
q0455  19:49.6-19:50.4  Точно.
q0456  19:51.7-19:52.8  Молодец, ладно.
q0457  19:53.4-19:53.8  Ладно.
q0458  19:55.7-19:57.7  Пэм, я иду за твоим подарком.
q0459  19:59.6-20:02.8  Офис так же безопасен, как люди в нём.
q0460  20:02.8-20:09.6  Но иногда эти люди заставляют тебя делать безумные вещи, чтобы показать опасность офиса.
q0461  20:10.2-20:13.0  В этой опасности я оказался сегодня.
q0462  20:14.9-20:16.0  Я спас жизнь.
q0463  20:17.1-20:18.4  Свою собственную.
q0464  20:19.4-20:20.2  Герой ли я?
q0465  20:24.6-20:26.5  Это не скромно, но...
q0466  20:26.5-20:26.8  Да.
q0467  20:32.8-21:02.7  Продолжение следует...
q0468  21:02.8-21:32.7  Продолжение следует...
